spelling,pp_mean,pp_min,pp_freq_mean,pp_freq_min
circular,0.99754902,0.980392157,0.997344176,0.978753412
circulate,0.926934993,0.413020833,0.928405733,0.425969993
circulating,0.923954133,0.540605096,0.923049682,0.538099771
circulation,0.890662623,0.357501795,0.89126912,0.363306678
circumcised,0.858506951,0.527725857,0.858886989,0.534320662
circumstance,0.938755289,0.413020833,0.939766308,0.425969993
circumstances,0.887238812,0.446728972,0.884461504,0.433705325
circumstantial,0.90966582,0.357501795,0.911292502,0.363306678
circus,0.996732026,0.980392157,0.996458902,0.978753412
cirque,0.84853988,0.463788301,0.835755221,0.465679338
cirrhosis,0.954748845,0.826633166,0.952677369,0.816085599
cisco,0.930830204,0.836879433,0.936367021,0.851241082
citation,0.849661107,0.357501795,0.85049504,0.363306678
cite,0.851593433,0.463788301,0.851613234,0.465679338
cities,0.835080568,0.618955513,0.833747646,0.612856026
citizen,0.880499351,0.540605096,0.879078072,0.538099771
citizens,0.895436932,0.540605096,0.894193313,0.538099771
citizenship,0.874418835,0.536211699,0.87371854,0.534320662
citrus,0.996732026,0.980392157,0.996458902,0.978753412
city,0.995098039,0.980392157,0.994688353,0.978753412
civic,0.996078431,0.980392157,0.995750682,0.978753412
civil,0.996078431,0.980392157,0.995750682,0.978753412
civilian,0.976802343,0.901140684,0.975565839,0.89664336
civilians,0.979379861,0.901140684,0.978280746,0.89664336
civilisation,0.899522309,0.357501795,0.900129415,0.363306678
civilised,0.846123256,0.527725857,0.847609993,0.534320662
civilization,0.899774071,0.357501795,0.900330027,0.363306678
civilizations,0.90730058,0.357501795,0.907721404,0.363306678
civilized,0.846458939,0.527725857,0.847877475,0.534320662
clad,1,1,1,1
claim,0.99942029,0.997101449,0.999598161,0.997990803
claimed,0.811398209,0.527725857,0.810370905,0.534759267
claiming,0.999637681,0.997101449,0.99974885,0.997990803
claims,0.999516908,0.997101449,0.999665134,0.997990803
clair,0.99942029,0.997101449,0.999598161,0.997990803
claire,0.694799156,0.173913043,0.704386188,0.180716635
clairvoyance,0.938512819,0.413020833,0.942972756,0.425969993
clam,1,1,1,1
clamp,1,1,1,1
clamps,1,1,1,1
clams,1,1,1,1
clan,1,1,1,1
clandestine,0.84611279,0.463788301,0.844229262,0.465679338
clang,1,1,1,1
clanging,0.866686013,0.494505495,0.86320996,0.480982383
clank,1,1,1,1
clanking,1,1,1,1
clap,1,1,1,1
clapping,1,1,1,1
clare,0.7271361,0.277777778,0.738711872,0.315819462
clarence,0.887194828,0.551724138,0.885189877,0.547965315
clarify,1,1,1,1
clarinet,0.976352831,0.904347826,0.982362119,0.929000515
clarity,1,1,1,1
clark,1,1,1,1
clarke,0.892796338,0.413020833,0.896480319,0.425969993
clash,1,1,1,1
clasp,1,1,1,1
class,1,1,1,1
classes,0.801555456,0.446728972,0.797375478,0.433705325
classic,0.816994087,0.504672897,0.81740501,0.505519008
classical,0.857662068,0.504672897,0.857981674,0.505519008
classics,0.839869826,0.504672897,0.840229384,0.505519008
classified,0.795987029,0.472274143,0.796125891,0.465240733
classmate,0.924471925,0.413020833,0.926437241,0.425969993
classmates,0.847951923,0.381044487,0.848850564,0.387143974
classroom,0.993090876,0.979112272,0.993465817,0.980518494
classy,0.993037424,0.979112272,0.993506165,0.980518494
clattering,0.926196496,0.586979167,0.92452406,0.574030007
claus,0.99501548,0.986842105,0.995681441,0.988550243
clause,0.855827011,0.538461538,0.857664714,0.545599623
claustrophobic,0.980561761,0.911111111,0.981511149,0.918235374
clavicle,0.882967652,0.536211699,0.883054395,0.534320662
claw,1,1,1,1
claws,0.9217783,0.797297297,0.921308755,0.80268722
clay,1,1,1,1
clean,0.965481948,0.910891089,0.966682417,0.914301921
cleaned,0.778107601,0.527725857,0.772725147,0.534759267
cleaner,0.975210362,0.910891089,0.97609365,0.914301921
cleaners,0.978156239,0.910891089,0.978915941,0.914301921
cleaning,0.978426217,0.910891089,0.979176511,0.914301921
cleanness,0.766490628,0.035502959,0.764962109,0.025623449
cleans,0.971234957,0.910891089,0.972235348,0.914301921
cleanse,0.75558805,0.2,0.768301418,0.236775146
cleanser,0.978309067,0.910891089,0.979081943,0.914301921
cleansing,0.931214851,0.726890756,0.930452293,0.720614111
cleanup,0.975344248,0.910891089,0.976201726,0.914301921
clear,0.965481948,0.910891089,0.966682417,0.914301921
clearance,0.912336922,0.413020833,0.914799954,0.425969993
cleared,0.83899321,0.527725857,0.832287442,0.534759267
clearer,0.975210362,0.910891089,0.97609365,0.914301921
clearing,0.978426217,0.910891089,0.979176511,0.914301921
clearly,0.975344248,0.910891089,0.976201726,0.914301921
clears,0.970874985,0.910891089,0.971887922,0.914301921
cleat,0.965481948,0.910891089,0.966682417,0.914301921
cleavage,0.902284834,0.413020833,0.904918055,0.425969993
cleaver,0.975210362,0.910891089,0.97609365,0.914301921
cleaves,0.754220304,0.381044487,0.749241639,0.387143974
cleft,1,1,1,1
clem,1,1,1,1
clemency,0.948894493,0.742138365,0.946603297,0.732424055
clementine,0.867526602,0.463788301,0.865493064,0.465679338
clements,1,1,1,1
clench,1,1,1,1
cleopatra,0.960493827,0.644444444,0.955917194,0.603254747
clergy,1,1,1,1
cleric,1,1,1,1
clerical,1,1,1,1
clerk,1,1,1,1
clerks,1,1,1,1
cleve,0.832541679,0.201257862,0.833999378,0.208142661
cleveland,0.816915587,0.15098242,0.818637816,0.15959768
clever,0.999843799,0.999062793,0.99987391,0.999243461
cleverly,0.948894493,0.742138365,0.946603297,0.732424055
cliche,0.482166393,0.008960573,0.487449138,0.008945638
click,1,1,1,1
clicked,0.805391185,0.527725857,0.807449124,0.534320662
clicker,0.999866113,0.999062793,0.999891923,0.999243461
clicking,1,1,1,1
clicks,1,1,1,1
client,0.775739898,0.231362468,0.774790493,0.225816886
clientele,0.710891908,0.117647059,0.713701436,0.105560797
clients,0.807777056,0.231362468,0.80696328,0.225816886
cliff,1,1,1,1
cliffs,1,1,1,1
climate,0.908860397,0.413020833,0.910985455,0.425969993
climax,1,1,1,1
climb,1,1,1,1
climbed,0.558973169,0.137142857,0.561745319,0.139851719
climbing,0.784384236,0.137142857,0.785009171,0.139851719
climbs,0.712512315,0.137142857,0.713345561,0.139851719
clinch,1,1,1,1
cling,1,1,1,1
clinging,0.866686013,0.494505495,0.86320996,0.480982383
clingy,0.835670836,0.494505495,0.830686751,0.480982383
clinic,1,1,1,1
clinical,1,1,1,1
clinics,1,1,1,1
clink,1,1,1,1
clinking,1,1,1,1
clint,1,1,1,1
clip,1,1,1,1
clipped,0.805391185,0.527725857,0.807449124,0.534320662
clipper,0.999866113,0.999062793,0.999891923,0.999243461
clippers,0.999730022,0.997840173,0.999739431,0.997915445
clipping,1,1,1,1
clippings,0.890447224,0.494505495,0.887124501,0.480982383
clips,1,1,1,1
clitoris,0.986506673,0.942857143,0.988060634,0.948301434
clive,0.890035313,0.463788301,0.890583876,0.465679338
cloak,0.99437142,0.974193548,0.994533409,0.976878423
cloaking,0.996482137,0.974193548,0.996583381,0.976878423
clobbered,0.81392189,0.360465116,0.816874729,0.401513305
clock,0.99953271,0.997663551,0.999157724,0.995788621
clocked,0.820318928,0.527725857,0.820120313,0.534759267
clocks,0.999610592,0.997663551,0.999298103,0.995788621
clockwork,0.995110765,0.958333333,0.994518401,0.954876989
clod,0.999415888,0.997663551,0.998947155,0.995788621
clog,0.999415888,0.997663551,0.998947155,0.995788621
clogged,0.820318928,0.527725857,0.820120313,0.534759267
clone,0.842194112,0.356957649,0.847675285,0.372769637
cloned,0.819557072,0.527725857,0.821117216,0.534759267
clones,0.795960518,0.381044487,0.794362785,0.387143974
cloning,0.992367747,0.95,0.988036799,0.922113294
clop,0.999415888,0.997663551,0.998947155,0.995788621
close,0.857026882,0.356957649,0.862148161,0.372769637
closed,0.790372083,0.527725857,0.790140365,0.534759267
closely,0.79800711,0.231428571,0.800396429,0.234216744
closeness,0.842894419,0.231428571,0.844752778,0.234216744
closer,0.999454391,0.997663551,0.999172014,0.995788621
closes,0.784398398,0.446728972,0.778263389,0.433705325
closest,0.994757041,0.965635739,0.995047585,0.969544473
closet,0.968081033,0.904347826,0.975780929,0.929000515
closets,0.999666222,0.997663551,0.999398374,0.995788621
closing,0.935883925,0.726890756,0.933778167,0.720614111
closure,0.859583357,0.405365127,0.868771003,0.425509855
clot,0.992273031,0.971428571,0.992984872,0.976150866
cloth,0.99953271,0.997663551,0.999157724,0.995788621
